movie,year,rating,genre,runtime_min,imdb_rating,metascore,votes,id
Resident Evil: Death Island,2023,R,"['Animation', ' Action', ' Adventure']",87,5.8,No score,4552,8decb23f-1f8e-4f1d-90fe-f920f917a231
Scream VI,2023,R,"['Horror', ' Mystery', ' Thriller']",122,6.5,61,93797,2f56cf7a-8d0e-42e2-802f-862f6e698298
Cobweb,2023,R,"['Horror', ' Thriller']",88,6.1,50,1286,5b2ef279-9448-435d-89b8-dc70826c10fb
Beau Is Afraid,2023,R,"['Comedy', ' Drama', ' Horror']",179,6.8,63,36024,3cc587aa-968f-4977-b926-eff7aeaf5ef6
Nimona,2023,PG,"['Animation', ' Action', ' Adventure']",101,7.6,75,24745,11e0167e-b9f5-42d3-bee3-8213634f2a30
Bawaal,2023,No rating,"['Action', ' Drama', ' Romance']",137,6.7,No score,11933,6e1b8bde-7dfd-457d-b2e1-5cba1222fd7b
Air,2023,AL/Tous,"['Drama', ' Sport']",111,7.4,73,134438,4cefd9d0-85c6-4217-aa0b-5fbe8414fead
The Machine,2023,R,"['Action', ' Comedy']",112,5.9,37,8574,65a6e74a-010a-464b-a838-d7abbac327d0
Paint,2023,PG-13,"['Comedy', ' Drama']",96,4.9,45,2972,d034aea6-3a19-4f7b-bd62-877f525ab616
The Black Demon,2023,R,"['Horror', ' Sci-Fi', ' Thriller']",100,3.7,No score,4418,7a8086b6-93e0-44d7-b125-46a1e52b4a07
The Portable Door,2023,No rating,"['Adventure', ' Comedy', ' Fantasy']",116,6.1,No score,5950,d8f0a773-3d2e-46eb-883c-efb86638041b
The Mother,2023,R,"['Action', ' Thriller']",115,5.6,45,40216,e736255c-76e2-4e15-9a1a-fe857f9b3af9
Run Rabbit Run,2023,No rating,"['Horror', ' Thriller']",100,5.0,52,7718,afe9e8c1-b290-4e2c-9f64-0626e8c2422f
Luther: The Fallen Sun,2023,R,"['Crime', ' Drama', ' Mystery']",129,6.4,53,56326,a9aeee5f-04cb-4855-ae26-b124699a5d15
The Wrath of Becky,2023,R,"['Action', ' Horror', ' Thriller']",84,6.0,51,6184,922dbba4-4d6f-4a14-a3f5-7753776dc772
Book Club: The Next Chapter,2023,PG-13,['Comedy'],107,5.6,46,3866,f093eea0-5caa-4d42-bfd7-fcdcf4341b53
Deurim,2023,No rating,"['Comedy', ' Drama', ' Sport']",125,6.5,No score,1636,3769a19a-51d3-4788-b95b-438d6c643fed
A Good Person,2023,R,['Drama'],128,7.0,50,12437,2284ab3f-1d73-48dd-9c55-a003a220dd04
80 for Brady,2023,PG-13,"['Comedy', ' Drama', ' Sport']",98,5.8,52,8917,8d9ee172-f011-4a36-8bd6-30b7d1cfc088
Robots,2023,R,"['Comedy', ' Romance', ' Sci-Fi']",93,5.5,No score,3655,88a3c202-18b4-4ec5-87f6-04137374ffce
Love Again,2023,PG-13,"['Comedy', ' Drama', ' Romance']",104,5.7,32,6254,56e3fd0e-ef98-4f38-a3ac-bf31209d614f
The Flood,2023,R,"['Action', ' Horror', ' Thriller']",93,3.2,No score,982,9c05101a-bae1-4b8a-9d8f-ff74da25adb1
Ras Bras,2023,No rating,"['Comedy', ' Thriller']",95,6.3,No score,1466,1ae525ea-c2c8-43f8-b5e0-5abfda8d51b7
Maamannan,2023,No rating,"['Drama', ' Thriller']",157,6.8,No score,3569,e802359f-3e6e-4d22-8fe9-6afdce2f80a2
Gray Matter,2023,No rating,"['Drama', ' Sci-Fi', ' Thriller']",87,4.8,No score,759,eec45060-e0a6-4e5c-b6c4-4cb7e22a69db
Murder Mystery 2,2023,PG-13,"['Action', ' Comedy', ' Crime']",90,5.7,44,58798,06a77876-fe2b-49e9-b01c-00f5a2d15ca9
Haunting of the Queen Mary,2023,No rating,"['Drama', ' Horror', ' Mystery']",125,4.8,No score,129,a8853be4-f624-4dfc-b2ce-d2fedf5a4093
The Line,2023,No rating,['Drama'],100,6.6,No score,150,b52b3f2d-215e-4352-b438-cc91d7ed684d
Golda,2023,PG-13,"['Biography', ' Drama', ' History']",100,5.8,51,259,1b49affc-1139-4fee-a533-07bd2a9fdfa9
Shin Kamen Raidâ,2023,No rating,"['Action', ' Adventure', ' Drama']",121,6.2,No score,1547,36bc728b-fdd5-4edb-ad2c-8fefec448461
The Unseen,2023,No rating,"['Drama', ' Horror', ' Thriller']",100,3.0,No score,311,5fa57036-f88c-4b29-ac9c-36f2ed79eeab
Jeanne du Barry,2023,No rating,"['Biography', ' Drama', ' History']",113,6.9,51,2389,1df14212-010f-46c8-9afc-623b4731591b
You People,2023,R,"['Comedy', ' Romance']",117,5.5,50,58639,662703d6-91a2-4a02-9279-166dc7cbe917
Bottoms,2023,R,['Comedy'],92,7.1,79,248,1eaeede0-429c-417d-b0d2-a805c4398d0e
Jules,2023,PG-13,['Drama'],90,8.1,No score,59,e8ee5e85-ad40-4417-8e19-78b0ff65ba9f
Kimitachi wa dô ikiru ka,2023,No rating,"['Animation', ' Adventure', ' Drama']",124,7.5,No score,617,c9dedf28-56f7-4ea6-bf0e-d53b685c6bdb
Inside,2023,R,"['Drama', ' Thriller']",105,5.5,53,11175,fedf4e5e-7bfa-4499-acb9-6f341be052c9
Peter Pan & Wendy,2023,PG,"['Action', ' Adventure', ' Comedy']",106,4.4,61,24992,fbff5e7c-001a-40d2-8f9b-f50a6ab09a5f
Baby,2023,No rating,"['Drama', ' Romance']",175,8.1,No score,6659,a8f6d47c-e8c9-4364-a0df-cc39b39b2e22
Fool's Paradise,2023,R,['Comedy'],98,4.7,27,3065,60cf6692-5298-4c57-a757-080bdbc4eea9
The Best Man,2023,R,"['Action', ' Thriller']",93,3.8,No score,777,61169afa-e75d-40fc-91ba-8b1f9c6368ed
Spy,2023,No rating,"['Action', ' Thriller']",135,5.4,No score,3828,b81b3a3f-959f-4e53-8532-b12691b3f670
Limbo,2023,No rating,"['Crime', ' Drama', ' Mystery']",108,6.1,76,900,89cb4efe-f0f9-4aab-9e63-00667972c8a2
Blood & Gold,2023,No rating,"['Action', ' Drama', ' War']",98,6.5,No score,12908,e0d203c9-f983-4c9e-a8ec-cf4caba8c3da
Wonderwell,2023,PG-13,"['Drama', ' Family', ' Fantasy']",96,6.8,No score,81,089ea66d-6f83-492c-afcc-0a5a8a68c936
Big Nunu's Little Heist,2023,No rating,"['Action', ' Comedy', ' Crime']",91,4.0,No score,159,5a443d60-bff7-49a4-b3b2-c5e6dc2171c9
Flamin' Hot,2023,PG-13,"['Biography', ' Drama', ' History']",99,6.9,58,11471,bd912333-9620-4087-9de5-60191af5637d
Reality,2023,No rating,['Drama'],83,6.7,83,10285,d59cbce4-51b1-45ab-8365-aea36f010111
The Zone of Interest,2023,No rating,"['Drama', ' History', ' War']",105,8.3,98,270,1f9ef3a3-28c8-45b2-a62c-8c965b7f8866
Boston Strangler,2023,R,"['Crime', ' Drama', ' History']",112,6.5,58,26927,64360475-5606-448d-a4a7-f960fda69109
We Have a Ghost,2023,PG-13,"['Adventure', ' Comedy', ' Family']",126,6.1,53,28349,96827db2-cc21-4160-9886-cdc63b689e65
Spider-Man: Lotus,2023,No rating,"['Action', ' Drama']",No runtime,6.4,No score,22,7ce46986-4104-495a-97ea-eeaea3527bde
The Miracle Club,2023,PG-13,['Comedy'],90,6.5,51,348,ef93eeba-fdd8-43ce-870e-a42131ba7eb7
Warhorse One,2023,R,"['Action', ' Drama', ' War']",120,5.2,No score,823,fad50375-83c8-4ace-8805-61dc0e03e28f
Sharper,2023,R,"['Crime', ' Drama', ' Thriller']",116,6.7,40,63904,7f387ec0-81ce-45d3-8488-4bf19d7430f5
65,2023,PG-13,"['Action', ' Adventure', ' Drama']",93,5.4,65,24460,fa121a07-883b-4510-9be6-68ab23bafa3a
Bird Box: Barcelona,2023,No rating,"['Horror', ' Mystery', ' Sci-Fi']",112,5.3,84,914,12fa97db-da89-490b-a694-8c57e00df652
The Venture Bros.: Radiant Is the Blood of the Baboon Heart,2023,R,['Animation'],83,8.1,50,2964,3c8de6e2-bfb9-46a1-81b0-e5c6dc94690b
Long ma jing shen,2023,No rating,"['Action', ' Comedy', ' Drama']",126,6.3,47,17218,508dd343-f917-40fe-8cf7-278d8fd74e6a
Theater Camp,2023,PG-13,['Comedy'],92,7.5,68,1806,2203a80d-7725-4a73-b701-008af5e8b186
The Collective,2023,No rating,['Action'],86,3.2,No score,462,66e1cf5b-841d-4d87-ad45-e296c05814d2
Kandahar,2023,R,"['Action', ' Thriller']",119,6.0,52,16873,4e54978b-eea5-4e5f-bf47-466608304601
"Ruby Gillman, Teenage Kraken",2023,PG,"['Animation', ' Action', ' Adventure']",91,5.7,50,5032,bad072a8-cf42-48fc-9d68-c6601c585ea3
Nefarious,2023,R,"['Horror', ' Thriller']",97,6.4,No score,14970,d24ff513-89ac-444b-a90c-3e21936ab3d3
Circus Maximus,2023,No rating,No genre,75,7.2,No score,253,9a52cd3d-eafc-4b9c-a0bd-e7f014403faf
Cocaine Bear,2023,R,"['Comedy', ' Thriller']",95,5.9,54,83327,a6264c58-5789-4dc5-aff7-45bdc17f54d2
Ant-Man and the Wasp: Quantumania,2023,PG-13,"['Action', ' Adventure', ' Comedy']",124,6.1,48,196799,da56676b-2d5e-437d-9da1-a32a95875783
Renfield,2023,R,"['Comedy', ' Fantasy', ' Horror']",93,6.4,53,62493,80a873a7-111f-4837-94e0-e254528b48d9
Infinity Pool,2023,R,"['Crime', ' Horror', ' Mystery']",117,6.1,72,38652,60b804a9-6728-420b-ac88-f02645bb342d
Shortcomings,2023,R,"['Comedy', ' Drama', ' Romance']",92,6.9,67,520,250ad5ae-6d5b-4d1d-83e0-9e7bde4ee2c1
Little Bone Lodge,2023,R,"['Crime', ' Horror', ' Thriller']",93,6.1,No score,3425,33733d2a-1afc-4b5d-867b-a2c65a993f1b
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,2023,No rating,"['Action', ' Comedy', ' Fantasy']",128,5.6,No score,2187,0b3dfd40-8107-4cfe-bf50-2e4d6f091f32
Justice League: Warworld,2023,R,"['Animation', ' Action', ' Adventure']",89,5.3,No score,1577,69658310-64d3-478c-b915-328d3fc9c7e8
Les trois mousquetaires: D'Artagnan,2023,6,"['Action', ' Adventure', ' History']",121,6.9,No score,8716,4ed7cf69-775d-485e-817b-14278c26c5a8
The Pope's Exorcist,2023,R,"['Horror', ' Thriller']",103,6.1,45,50456,a909aa8d-ad4c-4d84-b420-6b2f03990f57
The Ritual Killer,2023,No rating,"['Crime', ' Mystery', ' Thriller']",92,4.2,No score,4675,e48ab5ad-80ae-42d6-aa53-e4fd95415832
Shazam! Fury of the Gods,2023,PG-13,"['Action', ' Adventure', ' Comedy']",130,6.0,47,102371,ec31885c-f60c-45f2-8e16-5c5ff3c58dff
Plane,2023,R,"['Action', ' Adventure', ' Thriller']",107,6.5,62,62318,6ea2ac48-1902-4922-85b1-4e58da0087dd
Operation Fortune: Ruse de Guerre,2023,R,"['Action', ' Comedy', ' Thriller']",114,6.3,51,66885,13ab09cd-fab9-4fe0-a209-1a06f4c40970
Ghosted,2023,PG-13,"['Action', ' Adventure', ' Comedy']",116,5.8,34,49468,793f9b68-6772-47c3-b35c-98b6e7b9edd0
Past Lives,2023,PG-13,"['Drama', ' Romance']",105,8.4,94,7249,77109285-e5a1-4e7c-a986-c0330ac69e58
Misanthrope,2023,16,"['Action', ' Crime', ' Drama']",119,6.5,43,19470,f02092a6-81d1-4c07-9556-30ee8c491f7b
God Is a Bullet,2023,No rating,"['Action', ' Crime', ' Thriller']",156,5.5,31,2378,a0f515f8-fc2e-4009-8fc8-19878cec82f9
Fear the Night,2023,No rating,"['Action', ' Thriller']",92,4.6,30,1091,54b960a3-6b92-4ee3-83eb-57d09f6a268f
The Murderer,2023,No rating,"['Comedy', ' Crime', ' Mystery']",120,6.2,No score,560,5f2af809-acf1-4076-871c-6f7584defebe
Hypnotic,2023,R,"['Action', ' Mystery', ' Thriller']",93,5.5,53,17242,cd4b16db-bd73-419c-8247-558b91708bd4
The Slumber Party,2023,No rating,"['Comedy', ' Family']",82,5.9,No score,218,a977cef7-c9e3-4f4a-b88e-a18778f6a6da
"Are You There God? It's Me, Margaret.",2023,PG-13,"['Comedy', ' Drama', ' Family']",106,7.4,84,12144,53896df1-c38d-46ff-b7ce-c28c5aafadd3
Passages,2023,No rating,"['Drama', ' Romance']",91,7.0,79,684,d65126fb-1f99-4965-85d6-889b3471bea2
About My Father,2023,PG-13,['Comedy'],90,5.7,39,6379,b218501d-51ec-4517-86cf-3170dc6917a6
Missing,2023,PG-13,"['Drama', ' Mystery', ' Thriller']",111,7.1,66,45394,aa6ceca5-7973-44b3-a612-8eaf0e1389c9
BlackBerry,2023,R,"['Biography', ' Comedy', ' Drama']",120,7.4,80,18151,5b59184a-51aa-4467-8a88-60d8e3e71597
The Hiding Place,2023,No rating,['Biography'],147,7.7,No score,48,9785b0d7-b7e3-4427-8a83-638e799b3afe
Tetris,2023,R,"['Biography', ' Drama', ' History']",118,7.4,61,64558,659c8b00-7c9e-45b8-b36f-b444e088745a
Champions,2023,PG-13,"['Comedy', ' Drama', ' Sport']",124,6.7,50,16347,706c1f49-cdd2-412b-8a42-ce42b18dfc66
Winnie-the-Pooh: Blood and Honey,2023,No rating,['Horror'],84,2.9,16,19399,c8618ec8-d46d-4069-bda2-cd19a67932c2
Beautiful Disaster,2023,R,"['Drama', ' Romance']",96,5.3,No score,6151,58a62f73-094e-4e78-8fe0-b9b186b7ee47
The Unlikely Pilgrimage of Harold Fry,2023,No rating,['Drama'],108,6.8,No score,1476,5ebd1445-c030-4c9e-9e3b-9bfc962b1527
Bro,2023,No rating,"['Drama', ' Family', ' Fantasy']",134,8.1,No score,8458,a2e3b767-dc6c-49ef-b6f5-910355839db4
The Channel,2023,No rating,"['Action', ' Crime', ' Thriller']",95,5.3,No score,966,9f043f01-8fcc-4592-9739-6500dc876c83
Maggie Moore(s),2023,R,"['Comedy', ' Crime', ' Thriller']",99,6.0,43,1988,3585d958-54df-4837-8dc8-f373389d3836
Til Death Do Us Part,2023,No rating,"['Action', ' Thriller']",109,5.9,No score,294,2414c9a4-65ca-4efe-baa9-7c0a4e01513a
Feng shen Di yi bu: Zhao Ge feng yun,2023,No rating,"['Drama', ' Fantasy']",148,7.2,No score,516,4b69bfe2-bd54-4b56-9f20-b0be6a6070f3
Creed III,2023,PG-13,"['Drama', ' Sport']",116,6.8,73,79616,fc0ba7de-a1b1-495f-a688-bcad21353407
The Boogeyman,2023,PG-13,"['Horror', ' Mystery', ' Thriller']",98,6.1,55,11572,f53e9854-8725-42ae-9b95-a4724f00d0e1
Knights of the Zodiac,2023,PG-13,"['Action', ' Adventure', ' Drama']",112,4.4,35,7529,b13cc472-6761-461b-ba6e-a3e1cc2c45d7
The Donor Party,2023,No rating,['Comedy'],93,4.5,No score,652,46e03d9c-bbe2-4b00-93f4-8d1cbba1d395
Reveille,2023,No rating,"['Drama', ' War']",109,9.1,No score,27,5dbe707d-6149-418f-b7e8-db92e1bfc8a9
Assassin Club,2023,R,"['Action', ' Thriller']",111,4.6,27,1470,37922a46-02cd-4882-b0cc-bde6db7158b3
Shrapnel,2023,R,"['Action', ' Thriller']",89,6.9,No score,39,5cfad602-76f6-4215-b01f-ab047252a453
Maybe It's You,2023,No rating,['Comedy'],No runtime,6.7,No score,55,7f546187-8639-466a-9ecd-2e99a4351b0b
See You on Venus,2023,No rating,"['Drama', ' Romance']",94,5.7,No score,190,e94e8264-5331-4024-817d-29ae0307c80a
Pan Samochodzik i templariusze,2023,No rating,"['Adventure', ' Drama', ' Family']",110,4.2,No score,933,3420423b-6564-4d32-a8a3-69d460184e47
Eileen,2023,R,"['Drama', ' Mystery', ' Thriller']",97,7.2,75,163,d9a302e1-2533-4807-95c5-c33fdb94b372
Tarla,2023,No rating,"['Biography', ' Drama']",127,6.9,No score,4076,d77de1a6-be63-475c-860b-9ff09c8c9f59
White Bird,2023,No rating,"['Adventure', ' Biography', ' Drama']",120,8.9,No score,20,eabac1b4-3800-479c-8a10-a2763734a5d8
Rally Road Racers,2023,PG,"['Animation', ' Comedy', ' Family']",93,5.1,No score,341,1e3eba42-7c8a-43ed-bc99-8b83b4a0f94b
Invitation to a Murder,2023,PG-13,"['Mystery', ' Thriller']",92,5.0,No score,2457,770a6bf0-6c9f-4a65-877d-1a96423e1f84
Rye Lane,2023,R,"['Comedy', ' Drama', ' Romance']",82,7.3,83,8246,ffe5b5b2-828d-4f44-9bbe-a86c3ba31341
Landscape with Invisible Hand,2023,R,"['Comedy', ' Drama', ' Sci-Fi']",105,6.8,45,89,bcaa43ec-e8b8-4aaf-8185-f08d1d91ad72
Faraway,2023,No rating,"['Comedy', ' Drama', ' Romance']",109,6.7,No score,4437,cec26059-2c5d-4d80-b7e1-6be572a18f2d
Kensuke's Kingdom,2023,No rating,['Animation'],85,No rating,No score,No votes,a407d858-582f-4ce4-ad86-ea2812461a81
2018,2023,No rating,"['Action', ' Drama', ' Thriller']",150,8.4,No score,8268,9c1d1ff5-34c5-4e54-940d-a05cf2a6e0f9
House Party,2023,R,['Comedy'],100,4.4,41,3654,0d11ddf5-cab8-4748-a088-7d20596ff154
